City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Alamogordo,US,84.7,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
1,Rikitea,PF,72.25,moderate rain,-23.1203,-134.9692,People ThankYou
4,Sao Filipe,CV,79.86,light rain,14.8961,-24.4956,Hotel Xaguate
15,West Sacramento,US,73.49,clear sky,38.5805,-121.5302,"Holiday Inn Sacramento Downtown - Arena, an IHG Hotel"
16,Puerto Ayora,EC,71.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,Butaritari,KI,80.55,light rain,3.0707,172.7902,Isles Sunset Lodge
23,Umm Lajj,SA,89.91,few clouds,25.0213,37.2685,Moon light Furnished Units
24,Georgetown,MY,84.88,light rain,5.4112,100.3354,Cititel Penang
25,Ponta Do Sol,PT,81.72,clear sky,32.6667,-17.1,Hotel do Campo
27,Ambulu,ID,75.15,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
28,Pemangkat,ID,80.1,clear sky,1.1667,108.9667,Hotel Duyung Permai 2
31,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
34,Vila Franca Do Campo,PT,75.61,moderate rain,37.7167,-25.4333,Pestana Bahia Praia
35,Arraial Do Cabo,BR,75.16,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
38,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
40,Apsheronsk,RU,82.15,clear sky,44.46,39.73,Profilaktoriy Svetlyy
41,Loandjili,CG,75.31,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
44,Hilo,US,76.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Samarai,PG,79.23,broken clouds,-10.6167,150.6667,Nuli Sapi
53,Nabire,ID,75.58,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
54,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
55,Kapaa,US,76.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
57,Itarema,BR,88.61,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
63,Meulaboh,ID,77.47,scattered clouds,4.1363,96.1285,Kost Pria
66,Semirom,IR,83.28,broken clouds,31.4167,51.5667,Motel Dena
67,Lucapa,AO,87.28,clear sky,-8.4192,20.7447,Lírio Mendes
69,Portland,US,74.05,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
70,Atuona,PF,76.64,clear sky,-9.8,-139.0333,Villa Enata
72,Galesong,ID,75.22,clear sky,-5.3166,119.3661,Sapriadi Appy
79,Panaba,MX,89.82,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
81,Atambua,ID,70.77,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
82,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
83,Margate,GB,76.1,clear sky,51.3813,1.3862,Premier Inn Margate hotel
84,Lagoa,PT,73.83,few clouds,39.05,-27.9833,Casa Das Faias
85,Liwale,TZ,74.61,scattered clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
86,Jesup,US,88.34,scattered clouds,31.6074,-81.8854,Western Motel
94,Roura,GF,89.51,few clouds,4.7263,-52.3274,Amazonie Découverte SARL
97,Lanxi,CN,79.09,broken clouds,29.2195,119.477,Shangri-La Hotel
98,Ayakudi,IN,78.26,overcast clouds,10.45,77.55,Palani Temple Accommodation
102,Flagstaff,US,71.26,few clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
103,Bridgetown,BB,88.29,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
104,Hamilton,US,88.25,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
105,Nara,JP,85.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
107,Kincardine,GB,71.98,overcast clouds,56.0667,-3.7167,Premier Inn Falkirk North hotel
109,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
113,Kutum,SD,79.84,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
114,Sorong,ID,78.35,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
116,Victoria,HK,85.32,scattered clouds,22.2855,114.1577,Mini Central
118,Kavaratti,IN,80.71,overcast clouds,10.5669,72.642,Green leaf
119,Bataipora,BR,75.61,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
120,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
123,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
124,Chifeng,CN,70.29,overcast clouds,42.2683,118.9636,Junyu Tiancheng Hotel
125,Rudsar,IR,78.78,scattered clouds,37.1376,50.288,Hotel Bahar
130,Lompoc,US,70.84,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
131,Marsh Harbour,BS,84.02,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
132,Faanui,PF,76.59,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Pombas,CV,80.38,scattered clouds,17.1503,-25.0201,Paul Paradis
135,Jamestown,US,78.03,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
136,Oneonta,US,89.29,broken clouds,42.4529,-75.0638,Hampton Inn Oneonta
137,Quang Ngai,VN,74.68,overcast clouds,15.1167,108.8,Central Hotel
139,Trairi,BR,87.04,clear sky,-3.2778,-39.2689,janelas do mar
141,Puerto Escondido,MX,85.28,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
142,Hopatcong,US,89.13,few clouds,40.9329,-74.6593,"Holiday Inn Express & Suites Mount Arlington-Rockaway Area, an IHG Hotel"
143,Belle Fourche,US,84.34,clear sky,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
147,Giyani,ZA,79.0,clear sky,-23.3025,30.7187,Kulani Country Lodge
148,Chingirlau,KZ,82.0,overcast clouds,51.095,54.0814,Хостыл Аққу
149,Kumylzhenskaya,RU,83.98,broken clouds,49.8809,42.5898,"Gostinitsa ""Sosnovyy Dvor"""
151,Coahuayana,MX,86.85,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
154,Cartagena,CO,89.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
156,Vanimo,PG,76.53,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
158,Tabou,CI,75.85,overcast clouds,4.423,-7.3528,hotêl doufoulougou
162,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
164,Ewa Beach,US,77.09,broken clouds,21.3156,-158.0072,Base Lodging
165,Dwarka,IN,81.28,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
168,Labuhan,ID,77.95,light rain,-6.8844,112.2051,DoubleFAG
172,Tezu,IN,79.84,overcast clouds,27.9167,96.1667,Circuit House
175,Iracoubo,GF,86.65,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
177,Shahrud,IR,81.57,clear sky,36.4182,54.9763,Royal Hotel
178,Guerrero Negro,MX,78.46,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
179,Ternate,ID,78.94,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
181,Hasaki,JP,82.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
182,Jieshi,CN,82.09,heavy intensity rain,22.8134,115.8257,Yuehai Hotel
183,Grand Gaube,MU,70.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
188,Arona,ES,80.02,few clouds,28.0996,-16.681,Paradise Court
189,Mogadishu,SO,76.24,broken clouds,2.0371,45.3438,Hotel Juba
190,Naze,JP,81.52,scattered clouds,28.3667,129.4833,Shishime Hotel
191,Bengkulu,ID,76.6,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
192,Jingdezhen,CN,81.99,broken clouds,29.2947,117.2079,Garden Hotel
193,Cayenne,GF,89.64,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
194,Sur,OM,88.99,broken clouds,22.5667,59.5289,Sur Plaza Hotel
195,Peru,US,86.59,overcast clouds,40.7537,-86.0689,Cole Porter Inn
199,Palm Coast,US,89.13,scattered clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
200,Shimoda,JP,80.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
202,Shenzhen,CN,85.21,moderate rain,22.5455,114.0683,Grand Skylight
203,Aquiraz,BR,88.45,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
206,Kavieng,PG,81.14,broken clouds,-2.5744,150.7967,Nusa Island Retreat
209,Guayaramerin,BO,89.65,few clouds,-10.8368,-65.3614,Hostal Funf
210,Nhulunbuy,AU,75.81,clear sky,-12.2333,136.7667,East Arnhem Real Estate
211,Salalah,OM,76.6,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
213,Les Cayes,HT,89.73,clear sky,18.2,-73.75,Villa Orphee
216,San Cristobal,VE,84.38,few clouds,7.7669,-72.225,Pirineos
218,Los Lunas,US,77.14,broken clouds,34.8062,-106.7334,Western Skies Inns & Suites
219,Erenhot,CN,73.24,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
220,Xining,CN,71.82,broken clouds,36.6167,101.7667,Super Leisure Hotel
221,Balakovo,RU,76.46,clear sky,52.0278,47.8007,Victoria Hotel
222,Vila Velha,BR,85.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
226,Mayumba,GA,72.21,overcast clouds,-3.432,10.6554,LIKWALE LODGE
230,Katsuura,JP,81.09,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
234,Hastings,GB,81.9,clear sky,50.8552,0.5729,Zanzibar Hotel
235,Gimli,CA,72.0,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
236,Pincher Creek,CA,76.87,clear sky,49.4833,-113.952,BLUE MOUNTAIN MOTEL
239,Barahona,DO,85.82,broken clouds,18.2085,-71.1008,Hotel Caribe
240,Puchov,SK,73.09,overcast clouds,49.1249,18.326,"Alexandra Hotel, Ltd."
242,Marsabit,KE,71.56,broken clouds,2.3284,37.9899,Chicho Hotel
245,Langenburg,DE,85.84,clear sky,49.2544,9.8458,Mawell Resort
246,Bonthe,SL,79.9,broken clouds,7.5264,-12.505,Bonthe Holiday Village
252,Kirakira,SB,79.7,overcast clouds,-10.4544,161.9205,SanBiz Lodge
253,Xai-Xai,MZ,75.13,clear sky,-25.0519,33.6442,Complexo da Familia
257,Soure,BR,85.23,few clouds,-0.7167,-48.5233,Casarão da Amazônia
258,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
259,Vao,NC,70.18,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
262,Los Llanos De Aridane,ES,73.15,few clouds,28.6585,-17.9182,Valle Aridane
264,Soledad,CO,87.93,scattered clouds,10.9184,-74.7646,Hospedaje descanso
266,Dayong,CN,77.5,clear sky,25.0209,118.2898,Haiyue Express Hotel
267,Malanje,AO,87.58,scattered clouds,-9.5402,16.341,Hotel Ginga
268,Aktau,KZ,81.18,overcast clouds,43.65,51.2,Silk Way Hotel
273,Bajil,YE,84.11,overcast clouds,15.0584,43.2851,فندق حضرموت
276,Nouadhibou,MR,75.13,clear sky,20.931,-17.0347,El Medina
277,Coroico,BO,74.68,overcast clouds,-16.1889,-67.7271,Villa Saracena
279,Yenagoa,NG,79.03,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
283,Ambilobe,MG,70.84,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
284,Cape Coast,GH,76.69,broken clouds,5.1053,-1.2466,Samrit Hotel
286,Najran,SA,89.82,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
288,Oxford,GB,87.06,clear sky,51.7522,-1.256,Malmaison Oxford
289,Tura,IN,76.19,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
